"Local authority","Local authority code","Library name","Address 1","Address 2","Address 3","Postcode","Library type","Unique property reference number","Co-located","Easting","Northing","OA Code","Rural urban classification","IMD"
"Hounslow","E09000018","Chiswick Library","Duke's Avenue","Hounslow","Middlesex","W4 2AB","LAL",NULL,"No",520819,178405,"E00013353","A1",16240
"Hounslow","E09000018","Cranford Library","Bath Road","Hounslow","Middlesex","TW5 9TL","LAL",NULL,"No",510813,176654,"E00012887","A1",7468
"Hounslow","E09000018","Feltham Library","The Centre Feltham","Hounslow","Middlesex","TW13 4GU","LAL",NULL,"No",510517,173128,"E00168866","A1",14529
"Hounslow","E09000018","Hanworth Library","Uxbridge Road","Hounslow","Middlesex","TW13 5EG","LAL",NULL,"Yes",511954,172594,"E00013023","A1",4431
"Hounslow","E09000018","Heston Library","New Heston Road","Hounslow","Middlesex","TW5 0LW","LAL",NULL,"No",512896,177576,"E00013033","A1",9809
"Hounslow","E09000018","Hounslow Library","Treaty Centre","Hounslow","Middlesex","TW3 1ES","LAL",NULL,"Yes",513801,175622,"E00013138","A1",16971
"Hounslow","E09000018","Isleworth Library","Twickenham Road","Hounslow","Middlesex","TW7 7EU","LAL",NULL,"Yes",516065,175508,"E00013246","A1",17733
"Hounslow","E09000018","Osterley Library","St. Mary's Crescent","Hounslow","Middlesex","TW7 4NB","LAL",NULL,"No",514918,177230,"E00013285","A1",17227
"Isle of Wight","E06000046","Bembridge Community Library","Church Road","Bembridge","Isle of Wight","PO35 5NA","CRL",NULL,"No",464305,88277,"E00087289","D1",26782
"Isle of Wight","E06000046","Brighstone Community Library","North Street","Brighstone","Isle of Wight","PO30 4AX","CRL",NULL,"No",442825,82840,"E00087332","D1",20276
"Isle of Wight","E06000046","Cowes","Beckford Road","Cowes","Isle of Wight","PO31 7SG","LAL",NULL,"No",449574,95859,"E00087377","C1",16981
"Isle of Wight","E06000046","East Cowes Community Library","York Avenue","East Cowes","Isle of Wight","PO32 6RU","CRL",NULL,"No",450349,95585,"E00087410","C1",16069
"Isle of Wight","E06000046","Freshwater","School Green Road","Freshwater","Isle of Wight","PO40 9AP","LAL",NULL,"No",433799,87110,"E00087436","D1",11457
"Isle of Wight","E06000046","Lord Louis","Orchard Street","Newport","Isle of Wight","PO30 1LL","LAL",100062421516,"No",449984,88921,"E00087511","C1",12055
"Isle of Wight","E06000046","Niton - Edward Edwards Community Library","Ols School House, Church Street","Niton","Isle of Wight","PO38 2AZ","CRL",NULL,"No",450761,76635,"E00087367","D1",8991
"Isle of Wight","E06000046","Ryde","George Street","Ryde","Isle of Wight","PO33 2JE","LAL",NULL,"No",459278,92394,"E00087544","C1",2003
"Isle of Wight","E06000046","Sandown","High Street","Sandown","Isle of Wight","PO36 8AF","LAL",NULL,"No",460115,84363,"E00087614","C1",9352
"Isle of Wight","E06000046","Shanklin Community Library","Victoria Avenue","Shanklin","Isle of Wight","PO37 6PG","CRL",NULL,"No",458084,81215,"E00087669","C1",7185
"Isle of Wight","E06000046","Ventnor","High Street","Ventnor","Isle of Wight","PO38 1LZ","LAL",NULL,"No",456695,77758,"E00087694","D1",9135
"Islington","E09000019","Archway Library","Hamlyn House, Highgate Hill","London","Middlesex","N19 5PH","LAL",10012791132,"No",529320,186847,"E00013813","A1",7294
"Islington","E09000019","Cat and Mouse Library","277 Camden Road","London","Middlesex","N7 0JN","LAL",NULL,"No",530087,185424,"E00013879","A1",4992
"Islington","E09000019","Finsbury Library","245 St. John Street","London","Middlesex","EC1V 4NB","LAL",NULL,"No",531587,182544,"E00013579","A1",6778
"Islington","E09000019","Islington Central Library","2 Fieldway Crescent","London","Middlesex","N5 1PF","LAL",5300033298,"No",531341,185069,"E00013661","A1",14033
"Islington","E09000019","Lewis Carroll Children's Library","166 Copenhagen Street","London","Middlesex","N1 0ST","LAL",NULL,"No",530531,183698,"E00013470","A1",4859
"Islington","E09000019","Mildmay Library","21 Mildmay Park","London","Middlesex","N1 4NA","LAL",NULL,"No",532918,184985,"E00013865","A1",6381
"Islington","E09000019","N4 Library","26 Blackstock Road","London","Middlesex","N4 2DW","LAL",NULL,"No",531586,186677,"E00013693","A1",18800
"Islington","E09000019","North Library","Manor Gardens","London","Middlesex","N7 6JX","LAL",NULL,"No",530283,186278,"E00174791","A1",7170
"Islington","E09000019","South Library","115 Essex Road","London","Middlesex","N1 2SL","LAL",NULL,"No",531943,183940,"E00013928","A1",4013
"Islington","E09000019","West Library","Bridgeman Road","London","Middlesex","N1 1BD","LAL",NULL,"No",530714,184108,"E00013474","A1",17068
"Kensington and Chelsea","E09000020","Brompton Library","210 Old Brompton Road","London","Greater London","SW5 0BS","LAL",217060921,"No",525869,178348,"E00014580","A1",22988
"Kensington and Chelsea","E09000020","Chelsea Library","Chelsea Old Town Hall, King's Road","London","Greater London","SW3 5EZ","LAL",NULL,"No",527282,178093,"E00014595","A1",11889
"Kensington and Chelsea","E09000020","Kensal Library","20 Golborne Road","London","Greater London","W10 5PF","LAL",NULL,"No",524489,182061,"E00014310","A1",1243
"Kensington and Chelsea","E09000020","Kensington Central Library","Phillimore Walk","London","Greater London","W8 7RX","LAL",NULL,"No",525421,179598,"E00014135","A1",22636
"Kensington and Chelsea","E09000020","North Kensington Library","108 Ladbroke Grove","London","Greater London","W11 1PZ","LAL",217048255,"No",524353,181269,"E00014172","A1",5099
"Kensington and Chelsea","E09000020","Notting Hill Gate Library","1 Pembridge Square","London","Greater London","W2 4EW","LAL",NULL,"No",525202,180686,"E00014495","A1",12352
"Kent","E10000016","Allington Library","Castle Road","Maidstone","Kent","ME16 0PR","LAL",NULL,"No",574256,157199,"E00123465","C1",30506
"Kent","E10000016","Ash Library","Ash Village Hall, 10 Queens Road","Canterbury","Kent","CT3 2BG","LAL",NULL,"Yes",628882,158527,"E00122890","D1",15345
"Kent","E10000016","Ashen Drive Library","Ashen Drive","Dartford","Kent","DA1 3LY","LAL",NULL,"No",552372,173991,"E00122584","A1",31725
"Kent","E10000016","Ashford Library","Ashford Gateway Plus, Church Road","Ashford","Kent","TN23 1AS","LAL",NULL,"Yes",601007,142563,"E00121986","C1",10149
"Kent","E10000016","Aylesham Library","Aylesham Community Centre, Ackholt Road","Canterbury","Kent","CT3 3AJ","LAL",NULL,"Yes",624185,152280,"E00122807","D1",12681
"Kent","E10000016","Bearsted Library","The Green","Bearsted","Kent","ME14 4DN","LAL",NULL,"No",580063,155989,"E00123492","C1",25749
"Kent","E10000016","Bearsted Library (Temporary Location)","Bearsted Rail Station, Ware Street","Bearsted","Kent","ME14 4PH","LAL",NULL,"No",579802,156086,"E00123493","C1",25749
"Kent","E10000016","Birchington Library","Alpha Road","Birchington","Kent","CT7 9EG","LAL",NULL,"No",630127,169436,"E00125066","C1",15054
"Kent","E10000016","Borough Green Library","High Street","Borough Green","Kent","TN15 8BJ","LAL",NULL,"No",560916,157327,"E00125495","D1",30679
"Kent","E10000016","Boughton-under-Blean Library","Village Hall","Boughton-under-Blean","Kent","ME13 9AH","LAL",NULL,"No",605553,159554,"E00124643","E1",17148
"Kent","E10000016","Broadstairs Library","The Broadway","Broadstairs","Kent","CT10 2BS","LAL",NULL,"No",639056,167990,"E00125339","C1",24025
"Kent","E10000016","Canterbury Library","18 High Street","Canterbury","Kent","CT1 2RA","LAL",NULL,"Yes",614845,157890,"E00122478","C1",19325
"Kent","E10000016","Charing Library","Market Place","Charing","Kent","TN27 0LR","LAL",NULL,"No",595322,149415,"E00121781","D1",16916
"Kent","E10000016","Cheriton Library","64 Cheriton High Street","Folkestone","Kent","CT19 4HB","LAL",NULL,"No",620159,136807,"E00124324","C1",18492
"Kent","E10000016","Cliftonville Library","Queen Elizabeth Avenue","Margate","Kent","CT9 3JX","LAL",NULL,"No",637926,170558,"E00125149","C1",15668
"Kent","E10000016","Coldharbour Library","Coldharbour Road","Gravesend","Kent","DA11 8AE","LAL",NULL,"No",563310,172839,"E00123184","A1",12266
"Kent","E10000016","Coxheath Library","Heath Road","Coxheath","Kent","ME17 4EH","LAL",NULL,"No",574139,151200,"E00123565","D1",16046
"Kent","E10000016","Cranbrook Library","Carriers Road","Cranbrook","Kent","TN17 3JT","LAL",NULL,"No",577621,136405,"E00125829","D1",19840
"Kent","E10000016","Dartford Library","Central Park, Market Street","Dartford","Kent","DA1 1EU","LAL",200000533638,"No",554314,173906,"E00122764","A1",8350
"Kent","E10000016","Dashwood Library","Dashwood Road","Gravesend","Kent","DA11 7LY","LAL",NULL,"No",564188,172796,"E00123183","A1",12266
"Kent","E10000016","Deal Library","Broad Street","Deal","Kent","CT14 6ER","LAL",NULL,"No",637750,152598,"E00122996","C1",14574
"Kent","E10000016","Dover Library","Dover Discovery Centre, Market Square","Dover","Kent","CT16 1PH","LAL",NULL,"Yes",631935,141376,"E00122846","C1",2065
"Kent","E10000016","East Peckham Library","3 Pound Road","East Peckham","Kent","TN12 5AU","LAL",NULL,"No",566721,148620,"E00125598","D1",21999
"Kent","E10000016","Edenbridge Library","The Eden Centre, Four Elms Road","Edenbridge","Kent","TN8 6BY","LAL",NULL,"Yes",544246,146908,"E00172102","D1",18108
"Kent","E10000016","Faversham Library","Newton Road","Faversham","Kent","ME13 8DY","LAL",NULL,"No",601670,161208,"E00124624","C1",19856
"Kent","E10000016","Fleetdown Library","Swaledale Road","Dartford","Kent","DA2 6JZ","LAL",NULL,"No",556174,173166,"E00122546","A1",29990
"Kent","E10000016","Folkestone Library","2 Grace Hill","Folkestone","Kent","CT20 1HD","LAL",NULL,"No",622896,136199,"E00171576","C1",3296
"Kent","E10000016","Gravesend Library","Windmill Street","Gravesend","Kent","DA12 1BE","LAL",NULL,"No",564794,174118,"E00123164","A1",3222
"Kent","E10000016","Greenhithe Library","London Road","Greenhithe","Kent","DA9 9EJ","LAL",NULL,"No",559170,174852,"E00167437","A1",12347
"Kent","E10000016","Hadlow Library","School Lane","Hadlow","Kent","TN11 0EH","LAL",NULL,"No",563334,149843,"E00125615","D1",11494
"Kent","E10000016","Hartley Library","Ash Road","Longfield","Kent","DA3 8EL","LAL",NULL,"No",560550,167488,"E00124071","C1",31358
"Kent","E10000016","Hawkhurst Library","Rye Road","Cranbrook","Kent","TN18 4EY","LAL",NULL,"No",576156,130542,"E00125927","D1",27004
"Kent","E10000016","Headcorn Library","17 Kings Road","Headcorn","Kent","TN27 9QT","LAL",NULL,"No",583351,144445,"E00123683","D1",29961
"Kent","E10000016","Herne Bay Library","124 High Street","Herne Bay","Kent","CT6 5JY","LAL",NULL,"No",617755,168210,"E00122264","C1",4726
"Kent","E10000016","Higham Library","Villa Road","Rochester","Kent","ME3 7BS","LAL",NULL,"No",571057,171326,"E00123210","D1",18652
"Kent","E10000016","Hildenborough Library","3 Riding Lane","Hildenborough","Kent","TN11 9HX","LAL",NULL,"No",556578,148803,"E00125639","C1",28419
"Kent","E10000016","Hive House Library, Northfleet","10-11 The Hive","Gravesend","Kent","DA11 9DE","LAL",NULL,"No",561914,174486,"E00123254","A1",1877
"Kent","E10000016","Hythe Library","1 Stade Street","Hythe","Kent","CT21 6BQ","LAL",NULL,"No",616072,134531,"E00124482","C1",16303
"Kent","E10000016","Kemsing Library","Dippers Close","Sevenoaks","Kent","TN15 6QD","LAL",NULL,"No",554960,158851,"E00124107","D1",26844
"Kent","E10000016","Kent History & Library Centre, Maidstone","James Whatman Way","Maidstone","Kent","ME14 1LQ","LAL",NULL,"No",575624,156385,"E00123775","C1",15346
"Kent","E10000016","King's Farm Library","Sun Lane","Gravesend","Kent","DA12 5HR","LAL",NULL,"No",565321,172398,"E00123431","A1",23057
"Kent","E10000016","Larkfield Library","Martin Square","Aylesford","Kent","ME20 6QW","LAL",NULL,"No",570158,158451,"E00125703","C1",20172
"Kent","E10000016","Lenham Library","11 The Square","Lenham","Kent","ME17 2PQ","LAL",NULL,"No",589891,152200,"E00123674","D1",24718
"Kent","E10000016","Longfield Library","49 Main Road","Longfield","Kent","DA3 7QT","LAL",NULL,"No",560070,169201,"E00122640","C1",23275
"Kent","E10000016","Lydd Library","Skinner Road","Romney Marsh","Kent","TN29 9HN","LAL",NULL,"No",604251,120693,"E00124527","D1",11030
"Kent","E10000016","Lyminge Library","Station Road","Lyminge","Kent","CT18 8HS","LAL",NULL,"No",616471,141006,"E00124591","D1",21425
"Kent","E10000016","Madginford Library","Egremont Road","Bearsted","Kent","ME15 8LH","LAL",NULL,"No",579043,154840,"E00123512","C1",30407
"Kent","E10000016","Marden Library","High Street","Marden","Kent","TN12 9DP","LAL",NULL,"No",574637,144545,"E00123753","D1",21892
"Kent","E10000016","Margate Library","Thanet Gateway Plus, Cecil Street","Margate","Kent","CT9 1RE","LAL",100062305105,"Yes",635416,170818,"E00125251","C1",35
"Kent","E10000016","Marling Cross Library","266 Mackenzie Way","Gravesend","Kent","DA12 5TY","LAL",NULL,"No",565886,170786,"E00123401","A1",13739
"Kent","E10000016","Meopham Library","Wrotham Road, Meopham","Gravesend","Kent","DA13 0AH","LAL",NULL,"No",564355,165958,"E00123224","E1",23183
"Kent","E10000016","Minster-in-Sheppey Library","Worcester Close","Minster-on-Sea","Kent","ME12 3NP","LAL",NULL,"No",595073,172737,"E00124939","C1",1036
"Kent","E10000016","Minster-in-Thanet Library","4a Monkton Road","Ramsgate","Kent","CT12 4EA","LAL",NULL,"No",630891,164713,"E00125384","D1",12877
"Kent","E10000016","New Ash Green Library","North Square","New Ash Green","Kent","DA3 8QT","LAL",10035182341,"No",560570,165619,"E00123921","C1",15213
"Kent","E10000016","New Romney Library","82 High Street","New Romney","Kent","TN28 8AU","LAL",NULL,"No",606551,124903,"E00124557","D1",10411
"Kent","E10000016","Newington Library","The Royal Harbour Academy, Sterling Way","Ramsgate","Kent","CT12 6NB","LAL",100062284273,"Yes",636329,166700,"E00125322","C1",9665
"Kent","E10000016","Otford Library","High Street","Sevenoaks","Kent","TN14 5PH","LAL",NULL,"No",552385,159371,"E00124125","F1",17922
"Kent","E10000016","Paddock Wood Library","9 Commercial Road","Paddock Wood","Kent","TN12 6EN","LAL",NULL,"No",567057,145105,"E00125939","D1",20740
"Kent","E10000016","Pembury Library","Henwood Green Road","Tunbridge Wells","Kent","TN2 4HS","LAL",NULL,"No",562977,141416,"E00126023","D1",27199
"Kent","E10000016","Queenborough Library","Railway Terrace","Queenborough","Kent","ME11 5AY","LAL",NULL,"No",591146,172143,"E00124838","C1",1053
"Kent","E10000016","Ramsgate Library","Guildford Lawn","Ramsgate","Kent","CT11 9AY","LAL",NULL,"No",638010,164998,"E00125106","C1",5057
"Kent","E10000016","Riverhead Library","31 London Road","Riverhead","Kent","TN13 2BU","LAL",NULL,"No",551406,156196,"E00123985","C1",29674
"Kent","E10000016","Riverview Park Library","The Alma, Leander Drive","Gravesend","Kent","DA12 4NG","LAL",NULL,"No",566546,171531,"E00123362","A1",29471
"Kent","E10000016","Rusthall Library","Rusthall High Street","Rusthall","Kent","TN4 8RZ","LAL",NULL,"No",555920,139685,"E00126038","C1",19295
"Kent","E10000016","Sandgate Library","Sandgate High Street","Sandgate","Kent","CT20 3RR","CRL",NULL,"No",620692,135238,"E00124463","C1",21343
"Kent","E10000016","Sandwich Library","13 Market Street","Sandwich","Kent","CT13 9DA","LAL",NULL,"No",633041,158206,"E00123064","D1",27029
"Kent","E10000016","Seal Library","High Street","Sevenoaks","Kent","TN15 0AL","LAL",NULL,"No",554916,156749,"E00124143","C1",26429
"Kent","E10000016","Sevenoaks Library","Buckhurst Lane","Sevenoaks","Kent","TN13 1LQ","LAL",NULL,"No",553211,154755,"E00124207","C1",30029
"Kent","E10000016","Sheerness Library","Sheppey Gateway,  38-42 High Street","Sheerness","Kent","ME12 1NL","LAL",NULL,"Yes",591991,174911,"E00124896","C1",46
"Kent","E10000016","Shepway Library","17 Northumberland Court, Northumberland Road","Maidstone","Kent","ME15 7LW","LAL",NULL,"No",577745,153477,"E00123868","C1",3928
"Kent","E10000016","Sherwood Library","TN2, Lakeside","Tunbridge Wells","Kent","TN2 3LZ","LAL",NULL,"Yes",560094,140901,"E00126096","C1",12663
"Kent","E10000016","Showfields Library","Showfields Road","Tunbridge Wells","Kent","TN2 5PR","LAL",NULL,"No",557489,138158,"E00125854","C1",7671
"Kent","E10000016","Sittingbourne Library","Central Avenue","Sittingbourne","Kent","ME10 4AH","LAL",NULL,"No",590606,163541,"E00124883","C1",7459
"Kent","E10000016","Snodland Library","15-17 High Street","Snodland","Kent","ME6 5DA","LAL",NULL,"No",570299,161802,"E00125724","C1",12613
"Kent","E10000016","Southborough Library","Yew Tree Road, Southborough","Tunbridge Wells","Kent","TN4 0BA","LAL",NULL,"No",558317,141929,"E00126110","C1",25225
"Kent","E10000016","St. Margaret's-at-Cliffe Library","Community Centre, 16 Kingsdown Road","St. Margarets-at-Cliffe","Kent","CT15 6AZ","LAL",NULL,"Yes",635900,145023,"E00123042","E1",24086
"Kent","E10000016","Stanhope Library","67a Otterden Close","Ashford","Kent","TN23 5TH","LAL",NULL,"No",599703,140716,"E00121942","C1",3285
"Kent","E10000016","Staplehurst Library","The Parade","Staplehurst","Kent","TN12 0LA","LAL",NULL,"No",578533,143235,"E00123904","D1",27756
"Kent","E10000016","Sturry Library","Chafy Crescent","Sturry","Kent","CT2 0BA","LAL",NULL,"No",617776,160220,"E00122416","D1",25105
"Kent","E10000016","Summerhouse Drive Library","80 Summerhouse Drive","Dartford","Kent","DA5 2EE","LAL",NULL,"No",550738,171959,"E00122614","A1",31420
"Kent","E10000016","Sutton-at-Hone Library","Main Road","Sutton-at-Hone","Kent","DA4 9HQ","LAL",NULL,"No",555702,170137,"E00122730","D1",18491
"Kent","E10000016","Swalecliffe Library","78 Herne Bay Road","Whitstable","Kent","CT5 2LX","LAL",NULL,"No",613544,166882,"E00122140","C1",9485
"Kent","E10000016","Swan Valley Library","Ebsfleet Academy (Discovery Centre), Southfleet Road","Swanscombe","Kent","DA10 0BZ","LAL",10023446198,"Yes",560829,173926,"E00122735","A1",11071
"Kent","E10000016","Swanley Library","London Road","Swanley","Kent","BR8 7AE","LAL",NULL,"Yes",551256,168655,"E00124243","A1",4324
"Kent","E10000016","Temple Hill Library","Temple Hill Square","Dartford","Kent","DA1 5HY","LAL",NULL,"No",554890,174792,"E00122592","A1",1951
"Kent","E10000016","Tenterden Library","Tenterden Gateway, 2 Manor Row, High Street","Tenterden","Kent","TN30 6HP","LAL",NULL,"Yes",588165,133233,"E00121974","D1",24817
"Kent","E10000016","Teynham Library","131 London Road","Teynham","Kent","ME9 9QJ","LAL",NULL,"No",594945,162562,"E00124965","D1",12619
"Kent","E10000016","Tonbridge Library","1 Avebury Avenue","Tonbridge","Kent","TN9 1TG","LAL",NULL,"No",558783,146180,"E00125540","C1",20568
"Kent","E10000016","Tonbridge North Library","5 York Parade","Tonbridge","Kent","TN10 3NP","LAL",NULL,"No",559399,148779,"E00125758","C1",10864
"Kent","E10000016","Tunbridge Wells Library","Mount Pleasant Road","Tunbridge Wells","Kent","TN1 1NS","LAL",100062541606,"No",558498,139524,"E00125986","C1",28231
"Kent","E10000016","Tunbridge Wells Library (Temporary location)","Level 1, Royal Victoria Place Shopping Centre","Tunbridge Wells","Kent","TN1 2SS","LAL",NULL,"No",558580,139719,"E00125986","C1",28231
"Kent","E10000016","Vigo Library","The Village Hall, The Bay","Gravesend","Kent","DA13 0TD","LAL",NULL,"Yes",564473,161666,"E00123243","D1",28009
"Kent","E10000016","West Kingsdown Library","London Road","West Kingsdown","Kent","TN15 6BZ","LAL",NULL,"No",557372,163005,"E00124047","D1",18989
"Kent","E10000016","West Malling Library","22-24 High Street","West Malling","Kent","ME19 6QR","LAL",NULL,"No",568047,157885,"E00125802","D1",18447
"Kent","E10000016","Westerham Library","London Road","Westerham","Kent","TN16 1BD","LAL",NULL,"No",544638,154131,"E00124276","D1",30802
"Kent","E10000016","Westgate Library","Minster Road","Westgate-on-Sea","Kent","CT8 8BP","LAL",NULL,"No",632473,169648,"E00125445","C1",16019
"Kent","E10000016","Whitstable Library","Oxford Street","Whitstable","Kent","CT5 1DB","LAL",NULL,"No",610671,166226,"E00122207","C1",19592
"Kent","E10000016","Wood Avenue Library","Wood Avenue","Folkestone","Kent","CT19 6HS","LAL",NULL,"No",623002,137453,"E00124342","C1",1751
"Kent","E10000016","Wye Library","6 Upper Bridge Street","Wye","Kent","TN25 5AF","LAL",NULL,"No",605367,146665,"E00122062","D1",26880
"Kent","E10000016","Yalding Library","Adin Coates House, High Street","Yalding","Kent","ME18 6HU","LAL",NULL,"No",569855,150111,"E00123771","D1",20778
"Kingston upon Hull, City of","E06000010","Anlaby Park Library",NULL,NULL,NULL,"HU4 6XH","ICL",NULL,"No",505170,428679,"E00064433","C1",26752
"Kingston upon Hull, City of","E06000010","Avenues Library","76 Chanterlands Avenue","Hull","East Riding of Yorkshire","HU5 3TS","CL",NULL,"No",507328,430007,"E00064374","C1",13273
"Kingston upon Hull, City of","E06000010","Bransholme Library","NorthPoint Shopping Centre, Goodhart Road","Bransholme","East Riding of Yorkshire","HU7 4EF","CL",NULL,"No",510605,433537,"E00064484","C1",658
"Kingston upon Hull, City of","E06000010","East Park Library","Central Pavillion, Holderness Road","Hull","East Riding of Yorkshire","HU8 8JU","CL",NULL,"No",512122,430832,"E00064656","C1",12402
"Kingston upon Hull, City of","E06000010","Fred Moore Library","Wold Road","Hull","East Riding of Yorkshire","HU5 5UN","CL",NULL,"No",505481,429711,"E00064447","C1",5086
"Kingston upon Hull, City of","E06000010","Freedom Centre Library","The Freedom Centre, 95 Preston Road","Hull","East Riding of Yorkshire","HU9 3QB","CL",NULL,"Yes",513230,430530,"E00065050","C1",34
"Kingston upon Hull, City of","E06000010","Gipsyville Library","728-730 Hessle High Road","Hull","East Riding of Yorkshire","HU4 6JA","CL",NULL,"Yes",506553,427494,"E00064865","C1",906
"Kingston upon Hull, City of","E06000010","Greenwood Avenue Library","220 Greenwood Avenue","Hull","East Riding of Yorkshire","HU6 9RU","CL",NULL,"No",507332,433043,"E00064949","C1",213
"Kingston upon Hull, City of","E06000010","Hull Central Library","Albion Street","Hull","East Riding of Yorkshire","HU1 3TF","CL",10000201794,"No",509356,429098,"E00064852","C1",4755
"Kingston upon Hull, City of","E06000010","Ings Library","Savoy Road","Hull","East Riding of Yorkshire","HU8 0TY","CL",NULL,"Yes",512793,431959,"E00064700","C1",4698
"Kingston upon Hull, City of","E06000010","Longhill Library","St. Margaret's Church, Shannon Road","Hull","East Riding of Yorkshire","HU8 9PD","CL",NULL,"Yes",514220,432612,"E00064733","C1",1451
"Kingston upon Hull, City of","E06000010","Waudby Library","Isaac Newton Library & Sports Centre","Hull","East Riding of Yorkshire","HU9 5LD","CL",NULL,"Yes",514882,430016,"E00064778","C1",1585
"Kingston upon Hull, City of","E06000010","Western Library","254 Boulevard, Hessle Road","Hull","East Riding of Yorkshire","HU3 3ED","CL",NULL,"Yes",508002,427890,"E00065037","C1",92
"Kirklees","E08000034","Almondbury Library","Farfield Road","Huddersfield","West Yorkshire","HD5 8TD","LAL",NULL,"Yes",416956,415461,"E00055494","A1",12897
"Kirklees","E08000034","Batley Library","Market Place","Batley","West Yorkshire","WF17 5DA","LAL",NULL,"Yes",424248,424260,"E00055582","A1",1434
"Kirklees","E08000034","Birstall Library","Market Street","Batley","West Yorkshire","WF17 9EN","CL",NULL,"No",422482,426184,"E00055723","A1",8056
"Kirklees","E08000034","Chestnut Centre Library","The Chestnut Centre, Chestnut Street","Huddersfield","West Yorkshire","HD2 1HJ","CL",NULL,"Yes",415459,419151,"E00055974","A1",1099
"Kirklees","E08000034","Cleckheaton Library","Whitcliffe Road","Cleckheaton","West Yorkshire","BD19 3DX","LAL",83098217,"No",418425,425550,"E00055765","A1",14075
"Kirklees","E08000034","Denby Dale Library","Wakefield Road","Huddersfield","West Yorkshire","HD8 8RX","CL",NULL,"Yes",423069,408612,"E00055986","D1",24752
"Kirklees","E08000034","Dewsbury Library","Railway Street","Dewsbury","West Yorkshire","WF12 8EQ","LAL",NULL,"Yes",424793,421529,"E00175513","A1",1227
"Kirklees","E08000034","Golcar Library","12 - 14 Town End","Huddersfield","West Yorkshire","HD7 4QD","LAL",NULL,"No",409646,415928,"E00056186","A1",27972
"Kirklees","E08000034","Heckmondwike Library","Walkley Lane","Heckmondwike","West Yorkshire","WF16 0LY","LAL",83128318,"No",421698,423215,"E00056247","A1",13362
"Kirklees","E08000034","Holmfirth Library","47 Huddersfield Road","Holmfirth","West Yorkshire","HD9 3JH","LAL",NULL,"No",414112,408159,"E00056350","A1",22836
"Kirklees","E08000034","Honley Library","West Avenue","Holmfirth","West Yorkshire","HD9 6HF","LAL",NULL,"No",413546,411755,"E00056272","A1",25748
"Kirklees","E08000034","Huddersfield Library","Princess Alexandra Walk","Huddersfield","West Yorkshire","HD1 2SU","LAL",NULL,"Yes",414536,416467,"E00055983","A1",1766
"Kirklees","E08000034","Kirkburton Library","Turnshaws Road","Huddersfield","West Yorkshire","HD8 0RT","LAL",NULL,"No",419791,412702,"E00056422","C1",14195
"Kirklees","E08000034","Kirkheaton Library","Fields Rise","Huddersfield","West Yorkshire","HD5 0LZ","CL",NULL,"Yes",418096,418247,"E00055933","C1",12320
"Kirklees","E08000034","Lindley Library","Lidget Street","Huddersfield","West Yorkshire","HD3 3JP","LAL",NULL,"No",411739,418310,"E00056473","A1",14726
"Kirklees","E08000034","Marsden Library","Marsden Mechanic's Hall, Peel Street","Huddersfield","West Yorkshire","HD7 6BW","CL",NULL,"Yes",404940,411573,"E00055817","D1",18466
"Kirklees","E08000034","Meltham Library","Meltham Carlisle Institute, Huddersfield Road","Holmfirth","West Yorkshire","HD9 4AE","CL",NULL,"Yes",410027,410606,"E00056305","D1",14266
"Kirklees","E08000034","Mirfield Library","Easthorpe Lodge, Huddersfield Road","Mirfield","West Yorkshire","WF14 8AN","LAL",NULL,"No",420345,419780,"E00175529","A1",16025
"Kirklees","E08000034","Rawthorpe & Dalton Library","23 - 25 Ridgeway","Huddersfield","West Yorkshire","HD5 9QJ","LAL",NULL,"Yes",416305,417172,"E00055891","A1",1373
"Kirklees","E08000034","Shepley Library","Marsh Lane","Huddersfield","West Yorkshire","HD8 8AE","LAL",NULL,"No",419269,409750,"E00056431","D1",29989
"Kirklees","E08000034","Skelmanthorpe Library","24, Commercial Road","Huddersfield","West Yorkshire","HD8 9DA","CL",NULL,"Yes",423219,410615,"E00056015","D1",30337
"Kirklees","E08000034","Slaithwaite Library","Slaithwaite Town Hall, Cross Street","Huddersfield","West Yorkshire","HD7 5AF","LAL",NULL,"Yes",408195,414232,"E00055790","C1",11681
"Kirklees","E08000034","The Greenwood Centre","Huddersfield Road","Dewsbury","West Yorkshire","WF13 3JR","LAL",NULL,"Yes",422407,420356,"E00056103","A1",1750
"Knowsley","E08000011","Halewood","The Halewood Centre, Roseheath Drive","Halewood","Merseyside","L26 9UH","LAL",40076088,"Yes",344908,385037,"E00032577","A1",5452
"Knowsley","E08000011","Huyton","Civic Way","Huyton","Merseyside","L36 9GD","LAL",40056961,"Yes",344145,390760,"E00032816","A1",14130
"Knowsley","E08000011","Kirkby","The Kirkby Centre,  Norwich Way","Kirkby","Merseyside","L32 8XY","LAL",40008350,"Yes",341000,398753,"E00032614","A1",853
"Knowsley","E08000011","Prescot","Prescot Shopping Centre, Aspinall Street","Prescot","Merseyside","L34 5GA","LAL",40080202,"Yes",346687.92,392713.99,"E00172018","A1",1806
"Knowsley","E08000011","Stockbridge Village","The Withens","Stockbridge Village","Merseyside","L28 1AB","LAL",40077176,"Yes",342570,393574,"E00032504","A1",1479
"Lambeth","E09000022","Brixton","Brixton Oval","London","Surrey","SW2 1JQ","LAL",10092014720,"No",531067,175255,"E00015382","A1",3074
